cohort,subset,method,correct,total,micro_accuracy,macro_novel_accuracy,ci_low,ci_high
old20,all,G1,82,164,0.5,0.5019651182151181,0.424357047388029,0.5756429526119711
old20,all,G2,81,164,0.49390243902439024,0.49491966366966367,0.4184045401918173,0.569679452797444
old20,all,G3,84,164,0.5121951219512195,0.5114306526806527,0.4362950420323061,0.5875369719891712
old20,all,G4,86,164,0.524390243902439,0.5311546786546787,0.44827705033604764,0.5993869777069072
old20,all,G5,89,164,0.5426829268292683,0.536988566988567,0.46633286241134086,0.61707918666383
old20,all,B1,79,164,0.4817073170731707,0.47623945498945497,0.40653251804101626,0.5577194609267676
old20,all,B2,84,164,0.5121951219512195,0.5012778887778888,0.4362950420323061,0.5875369719891712
old20,all,B3,86,164,0.524390243902439,0.5278579753579754,0.44827705033604764,0.5993869777069072
old20,all,Q0,61,164,0.3719512195121951,0.36846597846597845,0.3017028864828616,0.44806096629162584
old20,q0_wrong,G1,40,103,0.3883495145631068,0.379047619047619,0.29986199561845933,0.4848657659277437
old20,q0_wrong,G2,41,103,0.39805825242718446,0.4020833333333333,0.3088339434875273,0.4946131431416146
old20,q0_wrong,G3,42,103,0.4077669902912621,0.4031547619047619,0.3178425371515976,0.5043238745604832
old20,q0_wrong,G4,40,103,0.3883495145631068,0.38779761904761906,0.29986199561845933,0.4848657659277437
old20,q0_wrong,G5,43,103,0.4174757281553398,0.42928571428571427,0.3268873640675524,0.5139983727274672
old20,q0_wrong,B1,37,103,0.3592233009708738,0.3776785714285714,0.2731709258664398,0.45539886043094663
old20,q0_wrong,B2,38,103,0.36893203883495146,0.3395238095238095,0.2820299422482874,0.46525916913203796
old20,q0_wrong,B3,39,103,0.3786407766990291,0.3798809523809524,0.29092715646348816,0.47508127999977606
old20,q0_correct_preservation,G1,42,61,0.6885245901639344,0.7280701754385965,0.5640856563035855,0.7906256721938473
old20,q0_correct_preservation,G2,40,61,0.6557377049180327,0.5956140350877193,0.5304974914056818,0.7625249103965454
old20,q0_correct_preservation,G3,42,61,0.6885245901639344,0.6771929824561403,0.5640856563035855,0.7906256721938473
old20,q0_correct_preservation,G4,46,61,0.7540983606557377,0.7736842105263158,0.6331557589001072,0.8449334229877371
old20,q0_correct_preservation,G5,46,61,0.7540983606557377,0.7780701754385965,0.6331557589001072,0.8449334229877371
old20,q0_correct_preservation,B1,42,61,0.6885245901639344,0.6701754385964912,0.5640856563035855,0.7906256721938473
old20,q0_correct_preservation,B2,46,61,0.7540983606557377,0.7008771929824561,0.6331557589001072,0.8449334229877371
old20,q0_correct_preservation,B3,47,61,0.7704918032786885,0.756140350877193,0.65086594876416,0.8580676964712871
new10,all,G1,36,70,0.5142857142857142,0.5269047619047619,0.39954383919009234,0.6275412161696143
new10,all,G2,31,70,0.44285714285714284,0.4508333333333333,0.3324952890930533,0.55916448946812
new10,all,G3,34,70,0.4857142857142857,0.49857142857142855,0.37245878383038566,0.6004561608099076
new10,all,G4,36,70,0.5142857142857142,0.5220238095238094,0.39954383919009234,0.6275412161696143
new10,all,G5,37,70,0.5285714285714286,0.5263095238095239,0.4132188746832562,0.6409512360361571
new10,all,B1,29,70,0.4142857142857143,0.40547619047619043,0.30630178568736466,0.5311878821543955
new10,all,B2,36,70,0.5142857142857142,0.5095238095238095,0.39954383919009234,0.6275412161696143
new10,all,B3,35,70,0.5,0.5121428571428571,0.3859571764530239,0.6140428235469761
new10,all,Q0,33,70,0.4714285714285714,0.4828571428571428,0.3590487639638429,0.5867811253167438
new10,q0_wrong,G1,12,37,0.32432432432432434,0.40428571428571425,0.19633266528144183,0.48536332758027806
new10,q0_wrong,G2,11,37,0.2972972972972973,0.37023809523809526,0.17489478649832016,0.45783135911135664
new10,q0_wrong,G3,13,37,0.35135135135135137,0.4542857142857143,0.2182560713392713,0.5124097687744917
new10,q0_wrong,G4,13,37,0.35135135135135137,0.4352380952380952,0.2182560713392713,0.5124097687744917
new10,q0_wrong,G5,17,37,0.4594594594594595,0.4928571428571429,0.3103856980437303,0.6161595310782052
new10,q0_wrong,B1,10,37,0.2702702702702703,0.3152380952380952,0.15397461511049093,0.4297816832471427
new10,q0_wrong,B2,14,37,0.3783783783783784,0.35285714285714287,0.24063999175798265,0.5389956956078235
new10,q0_wrong,B3,12,37,0.32432432432432434,0.41500000000000004,0.19633266528144183,0.48536332758027806
new10,q0_correct_preservation,G1,24,33,0.7272727272727273,0.7016666666666667,0.5578244099712737,0.8493255911457935
new10,q0_correct_preservation,G2,20,33,0.6060606060606061,0.5733333333333334,0.43683440819940234,0.7531689256552291
new10,q0_correct_preservation,G3,21,33,0.6363636363636364,0.6533333333333333,0.466161783022664,0.7781282176475764
new10,q0_correct_preservation,G4,23,33,0.696969696969697,0.6766666666666666,0.5266186485419944,0.8262446857594641
new10,q0_correct_preservation,G5,20,33,0.6060606060606061,0.5700000000000001,0.43683440819940234,0.7531689256552291
new10,q0_correct_preservation,B1,19,33,0.5757575757575758,0.5866666666666667,0.4080726333731245,0.7276440336658979
new10,q0_correct_preservation,B2,22,33,0.6666666666666666,0.6566666666666666,0.4960789442780561,0.8024977232077931
new10,q0_correct_preservation,B3,23,33,0.696969696969697,0.6633333333333333,0.5266186485419944,0.8262446857594641
descriptive30,all,G1,118,234,0.5042735042735043,0.5102783327783328,0.44066279924739127,0.5677461636387124
descriptive30,all,G2,112,234,0.47863247863247865,0.4802242202242202,0.4154907401991893,0.5424644453702918
descriptive30,all,G3,118,234,0.5042735042735043,0.5071442446442446,0.44066279924739127,0.5677461636387124
descriptive30,all,G4,122,234,0.5213675213675214,0.5281110556110556,0.4575355546297082,0.5845092598008108
descriptive30,all,G5,126,234,0.5384615384615384,0.5334288859288859,0.47448160068108625,0.6011990652938478
descriptive30,all,B1,108,234,0.46153846153846156,0.45265170015170014,0.3988009347061522,0.5255183993189138
descriptive30,all,B2,120,234,0.5128205128205128,0.504026529026529,0.4490900334117934,0.5761368552465179
descriptive30,all,B3,121,234,0.5170940170940171,0.5226196026196026,0.45331050653549504,0.5803253450089203
descriptive30,all,Q0,94,234,0.4017094017094017,0.4065963665963666,0.3409726376001539,0.465621216019459
descriptive30,q0_wrong,G1,52,140,0.37142857142857144,0.38746031746031745,0.2958250811297044,0.45389937039385897
descriptive30,q0_wrong,G2,52,140,0.37142857142857144,0.39146825396825397,0.2958250811297044,0.45389937039385897
descriptive30,q0_wrong,G3,55,140,0.39285714285714285,0.4201984126984127,0.3158551299789473,0.47558191295735547
descriptive30,q0_wrong,G4,53,140,0.37857142857142856,0.4036111111111111,0.3024840888214455,0.4611445598396976
descriptive30,q0_wrong,G5,60,140,0.42857142857142855,0.4504761904761905,0.3495844356842502,0.5113735929399517
descriptive30,q0_wrong,B1,47,140,0.3357142857142857,0.35686507936507933,0.26280357713393476,0.4173998887017295
descriptive30,q0_wrong,B2,52,140,0.37142857142857144,0.343968253968254,0.2958250811297044,0.45389937039385897
descriptive30,q0_wrong,B3,51,140,0.36428571428571427,0.39158730158730154,0.2891840079413045,0.44663624644467903
descriptive30,q0_correct_preservation,G1,66,94,0.7021276595744681,0.7189655172413794,0.6032278520902814,0.7851555638769665
descriptive30,q0_correct_preservation,G2,60,94,0.6382978723404256,0.5879310344827586,0.5375052079060171,0.7282308135452579
descriptive30,q0_correct_preservation,G3,63,94,0.6702127659574468,0.6689655172413793,0.570134654466759,0.7569250642425024
descriptive30,q0_correct_preservation,G4,69,94,0.7340425531914894,0.7402298850574712,0.6368232180330934,0.812883895192141
