novel,cohort,source_batch,graph_builder,graph_path,sha256,bytes,mtime_ns,nodes,edges,valid_edges,dangling_edges,self_loops,isolates_recomputed,isolate_rate_recomputed,edge_node_ratio
87,old20,legacy20_b,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c_next10\novels\87\graph.json,4fd4fd03903b917ccd356efcd7ff0127617356c8762688a3a3be143d8d1eb5d6,565324,1786370145669801200,1071,826,826,0,0,482,0.450046685340803,0.7712418300653595
90,old20,legacy20_b,legacy-qwen2.5-7b-c4-pipeline,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa_qwen_c_next10\novels\90\graph.json,02aeedf1a70dac7d267dbdf462ba5b117a256fd761d2994541e27ae3fb3f8415,411137,1786372215737834900,740,628,628,0,0,300,0.40540540540540543,0.8486486486486486
93,new10,pass2_v4_9b10,qwen3.5:9b-pass2-v4,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa30_attention\batch03\novels\93\graph.json,f1078174b998a8c9612ff1872d3f3444f50941b726f2e6cbfb4a6ea8c79ca8d7,499021,1787388903924250800,718,910,910,0,8,40,0.055710306406685235,1.267409470752089
97,new10,pass2_v4_9b10,qwen3.5:9b-pass2-v4,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa30_attention\batch03\novels\97\graph.json,53cd849aa96931882feb1414c35e7b25f652537dd0d6526a30f4ff04c7b7e246,475591,1787396269777686800,676,922,922,0,0,27,0.03994082840236687,1.363905325443787
99,new10,pass2_v4_9b10,qwen3.5:9b-pass2-v4,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa30_attention\batch03\novels\99\graph.json,e5654af97a483b6c9085645c14e2e519890d862bbca125284146c55affb6da31,388470,1787402593242964100,570,759,759,0,0,32,0.056140350877192984,1.331578947368421
100,new10,pass2_v4_9b10,qwen3.5:9b-pass2-v4,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa30_attention\batch03\novels\100\graph.json,334cc5620303bc2fa5cd1f6243eb7477d65fa2e701db42ccc55423f3336459e3,576269,1787412411036757400,826,1078,1078,0,0,35,0.0423728813559322,1.305084745762712
103,new10,pass2_v4_9b10,qwen3.5:9b-pass2-v4,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa30_attention\batch03\novels\103\graph.json,9ad5560631ebe2b7fecbe2ae4134ef54c090b472605fca0117978ccf4338fa2d,293692,1787455830216622600,396,647,647,0,0,23,0.05808080808080808,1.6338383838383839
104,new10,pass2_v4_9b10,qwen3.5:9b-pass2-v4,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa30_attention\batch03\novels\104\graph.json,31b7c5666cf8831426c2e1d3b7838a52edc44cf8cd4164f5c64dafab744a1700,312856,1787381273539884300,465,625,625,0,0,28,0.060215053763440864,1.3440860215053763
105,new10,pass2_v4_9b10,qwen3.5:9b-pass2-v4,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa30_attention\batch03\novels\105\graph.json,bda1cb24b753cb6b96493d8feaac94abfc1d23b941d0c8acba620864345ee248,341203,1787473498982392800,425,786,786,0,0,28,0.06588235294117648,1.8494117647058823
106,new10,pass2_v4_9b10,qwen3.5:9b-pass2-v4,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa30_attention\batch03\novels\106\graph.json,e216162d4f96815cca217c38d2e78d733c956dcb8c50ad7c38663cd767939d8a,289638,1787478504574422700,389,664,664,0,0,23,0.05912596401028278,1.7069408740359897
107,new10,pass2_v4_9b10,qwen3.5:9b-pass2-v4,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa30_attention\batch03\novels\107\graph.json,fddceb857be5715c3808ed73a3f3a7f5a308e21ec7d2f7a76946074d551b0753,283752,1787484030244481800,409,603,603,0,0,30,0.07334963325183375,1.4743276283618583
108,new10,pass2_v4_9b10,qwen3.5:9b-pass2-v4,D:\desktop\coding\科研\novel-kg-studio\outputs\four_datasets\dqa30_attention\batch03\novels\108\graph.json,55651dd1cc5bd24862e64dcb4096efbb80b077baff5ca9a2862e71dd73802e86,265940,1787489679969693600,355,589,589,0,0,20,0.056338028169014086,1.6591549295774648
